jí ɖò tɛníígbè azǎn 16ɔ́
ɖò tɛníígbè azǎn 16ɔ́ xwèjísùn
tɛníígbè azǎn 16ɔ́ xwèjísùn ɔ́
azǎn 16ɔ́ xwèjísùn ɔ́ tɔn
ée ɖò azǎn 11ɔ́ nǔxwásùn
ɖò azǎn 11ɔ́ nǔxwásùn xwè
azǎn 11ɔ́ nǔxwásùn xwè 2021ɔ́
11ɔ́ nǔxwásùn xwè 2021ɔ́ tɔn
nǔxwásùn xwè 2021ɔ́ tɔn gbè
Táatagbè ée jǎwe
tîin ɖò xwè 2019ɔ́ mɛ̀
ɖò xwè 2019ɔ́ mɛ̀ é
jǎwe ɖò azǎn 11ɔ́ nǔxwásùn
ɖò azǎn 11ɔ́ nǔxwásùn xwè
azǎn 11ɔ́ nǔxwásùn xwè 2021ɔ́
11ɔ́ nǔxwásùn xwè 2021ɔ́ tɔn
nǔxwásùn xwè 2021ɔ́ tɔn gbè
ɔ́ sín azǎn 9ɔ́ nǔxwásùn
sín azǎn 9ɔ́ nǔxwásùn xwè
azǎn 9ɔ́ nǔxwásùn xwè 1994ɔ́
9ɔ́ nǔxwásùn xwè 1994ɔ́ tɔn
nǔxwásùn xwè 1994ɔ́ tɔn gbè
we ɖò azǎn 12ɔ́ zofínkplɔsùn
ɖò azǎn 12ɔ́ zofínkplɔsùn xwè
azǎn 12ɔ́ zofínkplɔsùn xwè 2021ɔ́
12ɔ́ zofínkplɔsùn xwè 2021ɔ́ tɔn
zofínkplɔsùn xwè 2021ɔ́ tɔn gbè
Sín aklunɔzangbla nabí ɖé
Jǐ hwenu ɔ́
Jǐ hwenu ɔ́ ,
ɔ́ , ayǐsùn lɛ́ɛ ná
ée ɖò azǎn 11ɔ́ nǔxwásùn
ɖò azǎn 11ɔ́ nǔxwásùn xwè
azǎn 11ɔ́ nǔxwásùn xwè 2021ɔ́
11ɔ́ nǔxwásùn xwè 2021ɔ́ tɔn
nǔxwásùn xwè 2021ɔ́ tɔn gbè
bló ɖò sùnzán ɛnɛ nukɔntɔn
ɖò sùnzán ɛnɛ nukɔntɔn è
è ɖò xwè 2020ɔ́ ɔ́
ɖò xwè 2020ɔ́ ɔ́ mɛ̀
Azǎn wegɔ ɔ́
Azǎn wegɔ ɔ́ ée
Ɖò táatagbè azǎn 15ɔ́
Ɖò táatagbè azǎn 15ɔ́ wǒsùn
táatagbè azǎn 15ɔ́ wǒsùn ɔ́
azǎn 15ɔ́ wǒsùn ɔ́ tɔn
lɛ́ɛ ɖò tɛníígbè ɔ́ dòmɛ
Bɛsín azǎn 11ɔ́ nǔxwásùn
Bɛsín azǎn 11ɔ́ nǔxwásùn ɔ́
azǎn 11ɔ́ nǔxwásùn ɔ́ tɔn
bló ɖò azǎn 6ɔ́ nǔxwásùn
ɖò azǎn 6ɔ́ nǔxwásùn ɔ́
azǎn 6ɔ́ nǔxwásùn ɔ́ tɔn
ɖòtè sín azǎn 30ɔ́ xwèjísùn
sín azǎn 30ɔ́ xwèjísùn ɔ́
azǎn 30ɔ́ xwèjísùn ɔ́ tɔn
bɛ́ ɖò azǎn 11ɔ́ nǔxwásùn
ɖò azǎn 11ɔ́ nǔxwásùn ɔ́
azǎn 11ɔ́ nǔxwásùn ɔ́ tɔn
bɛ́ ɖò azǎn 10ɔ́ avùvɔsùn
ɖò azǎn 10ɔ́ avùvɔsùn ɔ́
azǎn 10ɔ́ avùvɔsùn ɔ́ tɔn
yì jɛ azǎn 4ɔ́ zoosùn
jɛ azǎn 4ɔ́ zoosùn ɔ́
azǎn 4ɔ́ zoosùn ɔ́ tɔn
yetɔn bɛsín azǎn 7ɔ́ wá
bɛsín azǎn 7ɔ́ wá yì
yì jɛ azǎn 11ɔ́ zoosùn
jɛ azǎn 11ɔ́ zoosùn tɔn
azǎn 11ɔ́ zoosùn tɔn gbè
ɔ́ ɖò azǎn 21ɔ́ aluunsùn
ɖò azǎn 21ɔ́ aluunsùn xwè
azǎn 21ɔ́ aluunsùn xwè 2021ɔ́
21ɔ́ aluunsùn xwè 2021ɔ́ tɔn
aluunsùn xwè 2021ɔ́ tɔn gbè
lá ɖò lyasùn xwè 2019ɔ́
ɖò lyasùn xwè 2019ɔ́ tɔn
lyasùn xwè 2019ɔ́ tɔn mɛ̀
è dó azǎn 10 jí
dó azǎn 10 jí bó
lá ɖò azǎn 21ɔ́ kɔnyásùn
ɖò azǎn 21ɔ́ kɔnyásùn 2020ɔ́
azǎn 21ɔ́ kɔnyásùn 2020ɔ́ tɔn
21ɔ́ kɔnyásùn 2020ɔ́ tɔn gbè
titɛ ɔ́ azǎn 20 wɛ
ɔ́ azǎn 20 wɛ è
bɛsín azǎn 1ɔ́ wá
bɛsín azǎn 1ɔ́ wá yì
yì jɛ azǎn 21ɔ́ kɔnyásùn
jɛ azǎn 21ɔ́ kɔnyásùn ɔ́
azǎn 21ɔ́ kɔnyásùn ɔ́ tɔn
21ɔ́ kɔnyásùn ɔ́ tɔn jí
kɔnyásùn ɔ́ tɔn jí .
lɛ́ɛ ɖó azǎn 10 sín
ɖó azǎn 10 sín acɛ
kplé ɖò azǎn nukɔntɔn lidósùn
ɖò azǎn nukɔntɔn lidósùn xwè
azǎn nukɔntɔn lidósùn xwè 2020ɔ́
nukɔntɔn lidósùn xwè 2020ɔ́ tɔn
