,ORG,PER,LOC,DATE,Mean
lug,0.9681537,0.9796868,0.9715475,0.9306389,0.96250665
kin,0.93300664,0.95147336,0.9417813,0.92064285,0.93672603
nya,0.91196555,0.95444185,0.90693325,0.9101702,0.9208777
xho,0.9272242,0.890739,0.9169747,0.93208617,0.91675603
sna,0.9097867,0.891658,0.9101608,0.9234696,0.9087688
zul,0.9048627,0.9208182,0.9000798,0.86779964,0.89839005
luo,0.87715864,0.9363852,0.90292346,0.8754226,0.89797246
tsn,0.889313,0.926903,0.85207295,0.87230057,0.8851474
wol,0.8927394,0.9042789,0.8635176,0.84380364,0.87608486
ibo,0.84260607,0.8857063,0.8849934,0.8571502,0.86761403
hau,0.855415,0.8704496,0.846573,0.8840157,0.86411333
twi,0.8591702,0.9130038,0.85227907,0.8151114,0.8598911
bam,0.8306078,0.8780494,0.8433291,0.8574308,0.8523543
mos,0.8375559,0.85116875,0.79874516,0.79287827,0.82008696
ewe,0.8254044,0.8427259,0.8023912,0.7858665,0.814097
swa,0.7851597,0.87843364,0.765499,0.8118063,0.81022465
pcm,0.77208847,0.8580787,0.7675892,0.71958673,0.77933586
fon,0.7804656,0.81160295,0.77040184,0.6968138,0.76482105
yor,0.7069266,0.7483961,0.71662664,0.7377572,0.72742665
bbj,0.7144009,0.78580296,0.69052815,0.69050974,0.72031045
