code,language,family,subfamily,region
nyn,Runyankore,Niger-Congo,Bantu,East
bam,Bambara,Niger-Congo,Mande,West
bbj,Ghomálá’,Niger-Congo,Grassfields,Central
ewe,Éwé,Niger-Congo,Kwa,West
fon,Fon,Niger-Congo,Volta-Niger,West
hau,Hausa,Afro-Asiatic,Chadic,West
ibo,Igbo,Niger-Congo,Volta-Niger,West
kin,Kinyarwanda,Niger-Congo,Bantu,East
lug,Luganda,Niger-Congo,Bantu,East
luo,Luo,Nilo-Saharan,Nilotic,East
mos,Mossi,Niger-Congo,Gur,West
pcm,Naijá,English Creole,-,West
nya,Chichewa,Niger-Congo,Bantu,South-East
sna,chiShona,Niger-Congo,Bantu,South
swa,Kiswahili,Niger-Congo,Bantu,East/Central
tsn,Setswana,Niger-Congo,Bantu,South
twi,Akan/Twi,Niger-Congo,Kwa,West
wol,Wolof,Niger-Congo,Senegambian,West
xho,isiXhosa,Niger-Congo,Bantu,South
yor,Yorùbá,Niger-Congo,Volta-Niger,West
zul,isiZulu,Niger-Congo,Bantu,South
