wọ́n pariwo 2023 , bóyá
tó di 2015 , táa
ìwọ́de ní ọjọ́ kẹrìndínlógún ,
ní ọjọ́ kẹrìndínlógún , osù
ọjọ́ kẹrìndínlógún , osù kẹta
kẹrìndínlógún , osù kẹta ,
, osù kẹta , ọdún
osù kẹta , ọdún 2015
kẹta , ọdún 2015 ,
, ọdún 2015 , láti
nǹkan bíi oṣù kan sẹ́yìn
bíi oṣù kan sẹ́yìn ,
oṣù kan sẹ́yìn , èmi
Ìrọ̀lẹ́ Sátidé àná
Ìrọ̀lẹ́ Sátidé àná ni
Ìrọ̀lẹ́ Sátidé àná ni ìròyìn
ti tẹ ọmọọdún mẹ́rìndínlógún kan
tẹ ọmọọdún mẹ́rìndínlógún kan ,
Àṣejèrè létí lọ́jọ́ Sátidé .
létí lọ́jọ́ Sátidé .
nǹkan bíi aago mẹ́fà àárọ̀
bíi aago mẹ́fà àárọ̀ ọjọ́
aago mẹ́fà àárọ̀ ọjọ́ kejìdínlógún
mẹ́fà àárọ̀ ọjọ́ kejìdínlógún ,
àárọ̀ ọjọ́ kejìdínlógún , oṣù
ọjọ́ kejìdínlógún , oṣù yìí
kejìdínlógún , oṣù yìí ni
, oṣù yìí ni Adéníyì
Nínú wàhálà June 12 nìyàwó
wàhálà June 12 nìyàwó mí
nínú wàhálà June 12 tó
wàhálà June 12 tó wáyé
tó wáyé lọ́dún 1994 nìyàwó
wáyé lọ́dún 1994 nìyàwó òun
sàmì ayẹyẹ June 12 ,
ayẹyẹ June 12 , èyí
mánigbàgbé ni June 12 jẹ́
ni June 12 jẹ́ sóun
jà fẹ́tọ̀ọ́ June 12 lásìkò
fẹ́tọ̀ọ́ June 12 lásìkò náà
lásìkò náà lọ́dún 1994 ,
náà lọ́dún 1994 , tóun
náà , ọjọ́ Ajé ,
, ọjọ́ Ajé , Mọ́ńdè
Ajé , Mọ́ńdè yìí la
Àṣejèrè lọ́wọ́ lálẹ́ ọjọ́ Ẹtì
lọ́wọ́ lálẹ́ ọjọ́ Ẹtì ,
lálẹ́ ọjọ́ Ẹtì , Fráìde
Ẹtì , Fráìde , ìpàdé
pé , ọjọ́ Mọ́ńdè tó
, ọjọ́ Mọ́ńdè tó ń
Olú ṣe láàrín ọdún kan
ṣe láàrín ọdún kan .
láàrín ọdún kan .
tán , láàrin oṣù kẹwàá
, láàrin oṣù kẹwàá sí
láàrin oṣù kẹwàá sí oṣù
oṣù kẹwàá sí oṣù kejìlá
kẹwàá sí oṣù kejìlá ọdún
sí oṣù kejìlá ọdún tó
oṣù kejìlá ọdún tó kọjá
kejìlá ọdún tó kọjá yìí
ọdún tó kọjá yìí ,
tó kọjá yìí , owó
ìfẹ̀yìntì fún láàrín oṣù karùn
fún láàrín oṣù karùn ún
láàrín oṣù karùn ún ọdún
oṣù karùn ún ọdún 2019
karùn ún ọdún 2019 sí
ún ọdún 2019 sí oṣù
ọdún 2019 sí oṣù kẹrin
2019 sí oṣù kẹrin ọdún
sí oṣù kẹrin ọdún yìí
oṣù kẹrin ọdún yìí .
kẹrin ọdún yìí .
ní Ìkòyí nírọ̀lẹ́ òní ,
Ìkòyí nírọ̀lẹ́ òní , ni
nǹkan bíi aago márùn -
bíi aago márùn - ún
aago márùn - ún kọjá
márùn - ún kọjá ìṣẹ́jú
- ún kọjá ìṣẹ́jú mẹ́tàlélógún
ún kọjá ìṣẹ́jú mẹ́tàlélógún ni
kọjá ìṣẹ́jú mẹ́tàlélógún ni wọ́n
sọ̀rọ̀ yìí lálẹ́ Tọ́sde ,
yìí lálẹ́ Tọ́sde , nígbà
gbàgbé , láti ọjọ́ Sánńdè
, láti ọjọ́ Sánńdè ní
láti ọjọ́ Sánńdè ní àwọn
da màálù lálẹ́ tàbí lóru
