b'omu Kampala abava
e Somalia ,
e Somalia oguwagira
bwa Ethiopia ,
e Somalia .
Uganda ne
ne Burundi z'ensi
mu Somalia .
mu Somalia .
mu Mogadishu nga
mu Somalia kya
wa Afirika eri
ga Uganda mu
mu Somalia kubanga
mu Kampala nga
ku Somalia .
agamba Uganda terina
mu Somalia .
za Afirika nga
nga Nigeria ne
ne Malawi ezaasuubiza
ga Afirika okulonda
ga Afirika amagatte
mu Somalia wansi
nti Uganda ejja
mu Somalia yokka
; Somalia ,
, Djibouti ,
, Ethiopia ,
, Uganda ,
, Kenya ,
, Sudan ne
ne Eritrea .
Eritrea ,
e Somalia ,
Sudan telagangako
mu Somalia .
Singa Uganda ekyusa
mu Somalia naye
e Ntungamo kubanga
kati Ntungamo ne
ne Rukungiri .
e Mbarara ,
mu Kampala .
nga USA ,
mu Somalia zaalemwa
lw'e Somalia bwe
e Ntungamo .
ng'olunaku Uganda lwe
mu Kampala tezaafuuka
ku Uganda okutwala
mu Somalia .
erabudde Uganda ne
ne Burundi nti
mu Kampala ne
mu Bujumbura .
mu Somalia ku
mu Somalia .
kya Somalia ekinene
mu Somalia kati
mu Somalia mu
e Somalia kigootaanye
bw'erumba Uganda olw'okutwala
mu Somalia ,
ba Uganda mu
mu Mogadishu tebalina
bya Uganda okuddamu
ku Somalia .
nti Uganda erina
nti Uganda erina
mu Somalia enyweze
mu Uganda ,
Eritrea ,
e Somalia ,
Sudan telaganga
mu Somalia .
Singa Uganda ekyusa
mu Somalia naye
e Ntungamo kubanga
kati Ntungamo ne
ne Rukungiri .
e Mbarara ,
mu Kampala .
nga USA ,
mu Somalia zaalemwa
lw'e Somalia bwe
e Ntungamo .
ng'olunaku Uganda lwe
mu Kampala tezaafuuka
ku Uganda okutwala
mu Somalia .
erabudde Uganda ne
ne Burundi nti
mu Kampala ne
mu Bujumbura .
mu Somalia ku
mu Somalia .
kya Somalia ekinene
mu Somalia era
mu Somalia kati
mu Somalia mu
e Somalia kigootaanye
bw'erumba Uganda olw'okutwala
mu Somalia ,
ba Uganda mu
mu Mogadishu tebalina
bya Uganda okuddamu
ku Somalia .
nti Uganda erina
nti Uganda erina
mu Somalia enyweze
mu Uganda ,
, Uganda etandise
, Kenya yagaana
ku Uganda bufaananako
mu Middle East
Middle East okusingira
mu Palestine ,
, Israel .
e Oklahoma mu
e Rwanda mu
mu Rwanda era
mu Rwanda agamba
mu Iraq .
e Bungereza .
, Rwanda yalina
mu Bulaaya kyaleetaawo
e Mubende n'e
n'e Kiboga baakakibwa
za Kampala .
mu Afrika okuggyako
mu Ethiopia ne
ne Liberia zitaafugibwako
b'e Rwanda beevuma
kya Bungereza ekigabi
y'e Jinja .
y'e Oyam zaagambibwa
ya Arua ebanja
ebanja Uganda ssente
y'e Nebbi .
eky'e Busabala mu
y'e Masajja oluvannyuma
mu Uganda ,
, Liberia ne
ne Zimbabwe .
ga Afirika amagatte
mu Afirika "
okungi Afirika kw'esanga
bya Afirika ebingi
ye Uganda eyafiirwa
ga Afirika baavumirira
wa Uganda asooka
e Somalia .
mu Somalia .
Guinea ne
ne Djibouti nago
e Somalia okuyambako
ga Uganda ne
ne Burundi okukuuma
b'omu Middle East
Middle East abatiitiizi
ba Afirika abavunaanibwa
wa Sudan Omar
aga Afirika bakkaanya
ga Africa amagatte
ga Africa amagatte
mu Africa .
mu Afirica ,
mu Sub -
Sub - Saharan
- Saharan Africa
Saharan Africa alina
kya Africa ekiri
w'eddungu Saharah kye
ga Afirica amagatte
ba Afirika eby'omu
ga Afirica amagatte
ly'e Butambala lyali
y'e Mpigi naye
y'e Gomba .
ery'e Kayunga .
mu Uganda .
e Naggalabi ,
, Budo ,
b'e Mengo bagamba
bya Uganda kwe
lwa Buganda lwakisuula
w'e Luwero Abudul
w'e Luwero .
mu London emirundi
mu Kampala era
bwa DRC ,
, Nairobi ate
e Somalia .
mu Somalia ?
bwa Somalia tebumanyiddwa
bwa Somalia buufuse
bwa Uganda .
za Somalia byennyamiza
mu Somalia nga
bakiikiridde Amerika .
Mu Somalia waliyo
mu Somalia okuteekawo
ya Bungereza erongoosa
mu Bristol .
za Afirika ezirina
mu Rwanda okumwebuuzaako
ne Rwanda .
owa Kinkizi East
Kinkizi East yakwatiddwa
Yakulembedde Uganda mu
wa Uganda akyasinze
n'eggwanga Liberia okutuusa
wa Zimbabwe Farai
mu South Africa
South Africa .
mu Afirika ,
ku Iraq ,
e Sauidi Arabia
Sauidi Arabia olw'okuwuliriza
mu Israel mu
y'e Pallisa yafuna
yafuga Uganda okumala
ba Uganda abasoba
mu Somalia .
e Sembabule wiiki
wa Uganda Gilbert
Pulezidentiwa Uganda Idi
ya Saudi Arabia
Saudi Arabia .
by'e Kalangala .
mu Uganda n'atuuka
mu Congo ne
ne Sudan .
ya Rwanda okusobozesa
ba Rwanda bafuna
e Rwanda .
kyalo Bugesera ,
ga Afirika kimu
bya Rwanda birabika
mu Rwanda ,
mu Rwanda gyali
, Rwanda ezze
kwa Rwanda kwe
mu Rwanda bajja
ga Afirika .
ba Rwanda balabise
wa Rwanda owa
mu Rwanda mu
mu Afirica ezitambuzibwa
bwa Uganda era
e Nairobi era
z'e Uganda .
mu Uganda okuva
mu bukiikakkono bwa
bukiikakkono bwa Uganda
bwa Uganda abakyalina
mu Arua nti
ba Uganda bangi
mu Kaluguuza ng'oggyeko
y'e Mataale agamba
mu Bunyoro okumala
e Kibaale ne
mu Kabale .
b'e Kibaale nabo
; Buyaga ey'obuvanjuba
Buyaga ey'obuvanjuba ,
, Buyaga ey'obugwanjuba
Buyaga ey'obugwanjuba ,
, Bagangaizi ey'obugwanjuba
Bagangaizi ey'obugwanjuba ,
, Bagangaizi ey'obuvanjuba
Bagangaizi ey'obuvanjuba ne
ne Buyanja .
, Kibaale yali
mu Kabaale bwongedde
ya Lango eri
n'ekitoogo ky'ennyanja Kyoga
ky'ennyanja Kyoga .
nti Apac ye
mu Apac yayogera
ya Apac .
ly'e Maruzi ,
mu bukiikakkono bwa
