layer,model,rank_type,language,pearson
2,xlmr,top5,nya,0.9999975588796759
2,xlmr,top5,kin,0.9999974704155119
2,xlmr,top5,lug,0.9999969100827253
2,xlmr,top5,tsn,0.9999961190952431
2,xlmr,top5,luo,0.9999959228189028
2,xlmr,worst5,bam,0.9999807703490841
2,xlmr,worst5,fon,0.9999815087306093
2,xlmr,worst5,yor,0.9999865775749565
2,xlmr,worst5,hau,0.9999870098940926
2,xlmr,worst5,twi,0.9999880403602917
3,xlmr,top5,lug,0.9999979767867353
3,xlmr,top5,sna,0.9999973776169055
3,xlmr,top5,kin,0.9999971633434931
3,xlmr,top5,nya,0.9999971554620657
3,xlmr,top5,xho,0.9999967292420776
3,xlmr,worst5,pcm,0.9999820197341792
3,xlmr,worst5,fon,0.9999881992035305
3,xlmr,worst5,swa,0.999989299746092
3,xlmr,worst5,ibo,0.9999910536474208
3,xlmr,worst5,yor,0.9999911818784792
10,xlmr,top5,ibo,0.9999954338257773
10,xlmr,top5,twi,0.9999953224348416
10,xlmr,top5,ewe,0.999994462305387
10,xlmr,top5,sna,0.9999944484745356
10,xlmr,top5,lug,0.9999941365071026
10,xlmr,worst5,pcm,0.999964012360739
10,xlmr,worst5,wol,0.9999856204336506
10,xlmr,worst5,bbj,0.9999870420719604
10,xlmr,worst5,mos,0.9999879174096741
10,xlmr,worst5,tsn,0.9999879414000752
12,xlmr,top5,ewe,0.9975571979331046
12,xlmr,top5,hau,0.9970037552060761
12,xlmr,top5,bam,0.9969309245844896
12,xlmr,top5,pcm,0.996623659235383
12,xlmr,top5,luo,0.9965408368348254
12,xlmr,worst5,zul,0.991328989117562
12,xlmr,worst5,xho,0.9919080101951645
12,xlmr,worst5,fon,0.9920309970121881
12,xlmr,worst5,wol,0.9928353694270443
12,xlmr,worst5,ibo,0.9951076857621085
