Tribune ntâmgǒ 13
ntâmgǒ 13 fə̀fə̀
13 fə̀fə̀ 2021
fə̀fə̀ 2021
pɔ́ptə 23 Shwâgəfə
23 Shwâgəfə kúʼú
ŋwák tyə̂ʼ 25
tyə̂ʼ 25 nə̂
25 nə̂ Fəfə
nə̂ Fəfə 2021
Fəfə 2021 .
nə́ Dzʉ̂ʼbvʉ 2021
Dzʉ̂ʼbvʉ 2021 jwə́
nə́ mnam 8
mnam 8 mtsʉ́ʼ
8 mtsʉ́ʼ .
Ekinɔ̂ks mnam 8
mnam 8 mtsʉ́ʼ
8 mtsʉ́ʼ
tâmbɛ̂ ŋkaʼ 46
ŋkaʼ 46 e
mû ŋkaʼ 11
ŋkaʼ 11 Yɔ́gám
ghə guʼ 25
guʼ 25 páʼ
nə̂ gûʼ 2020
gûʼ 2020 .
nə́ Fʉ̂ʼbvʉ 2021
Fʉ̂ʼbvʉ 2021 .
nə́ gûʼ 2022
gûʼ 2022 lə
nə́ Fʉ̂ʼbvʉ 2021
Fʉ̂ʼbvʉ 2021 .
bʉɔ̌ tyə̀ʼ 2021
tyə̀ʼ 2021 -
2021 - 2024
- 2024 .
KAN 2021 :
nə́ tyə̂ʼ batə
tyə̂ʼ batə 2
batə 2 nə́
2 nə́ Dzʉ̂ʼbvʉ
nə́ Dzʉ̂ʼbvʉ yə̌ŋ
Shu ŋkaʼ 20
ŋkaʼ 20 bə
mû guʼ pʉə́
guʼ pʉə́ bə
twɔ́k ŋkaʼ 50
ŋkaʼ 50 pú
pə̂ gap pʉə́
gap pʉə́ nə̂
gɛcɛ́ tyə́ʼ ɔ
tyə́ʼ ɔ .
á tyə́ʼmô gɔ́m
ba tyə́ʼ cwɔ̂ʼluʼ
tyə́ʼ cwɔ̂ʼluʼ nə́
cwɔ̂ʼluʼ nə́ 1994
nə́ 1994 .
ǎ tyə́ʼ ɔ
tyə́ʼ ɔ ba
bə́ tyə́ʼɔ bə
daʼgaə́ tyə́ʼ ɔ
tyə́ʼ ɔ ǎ
fə́ 2020 .
gə ŋkaʼ 58
ŋkaʼ 58 ,
láʼ sɔmtyə́ʼ pə́
gə ŋkaʼ 58
ŋkaʼ 58 ,
pə̌ guʼ 35
guʼ 35 tyə́ʼ
35 tyə́ʼ ɔ
tyə́ʼ ɔ bə
twɔ́k ŋkaʼ 30
ŋkaʼ 30 á
bə̂m tyə́ʼ ɔ
tyə́ʼ ɔ .
tə̂ tyə́ʼ batə
tyə́ʼ batə 15
batə 15 nə́
Jʉɔjʉm tyə́ʼ
Jʉɔjʉm tyə́ʼ nə́
bə́ tyə̂ʼ 15
tyə̂ʼ 15 nə́
15 nə́ Dzə̂tsə́
nə́ Dzə̂tsə́ guŋ
