, Rufin Domɛgo
Rufin Domɛgo ɖɔ
Mariam Chabi
Mariam Chabi TALATA
Chabi TALATA ,
lɛ́dó Mariam Chabi
Mariam Chabi TALATA
Chabi TALATA .
Mariam Chabi
Mariam Chabi TALATA
Chabi TALATA dà
. Marius Balogoun
Marius Balogoun ée
, Cécile Tɔsa
Cécile Tɔsa ,
, Sam Doboma
Sam Doboma ,
, Sanda Essoniwa
Sanda Essoniwa ,
wɛ Gwalbert Koudogbo
Gwalbert Koudogbo ,
, André Amǔsu
André Amǔsu ,
Nú Hervé Bretton
Hervé Bretton ɔ́
. Patrice TALƆN
Patrice TALƆN fó
Maurice Thantan
Maurice Thantan Xó
, Jean -
Jean - Claude
- Claude Codjia
Claude Codjia ,
tokpɔnlagán Angelo Ahwanjinu
Angelo Ahwanjinu ɔ́
Didier Akodé
Didier Akodé ,
jɛxa Patrice TALƆN
Patrice TALƆN ,
Daniel Chausse
Daniel Chausse ,
è Daniel Chausse
Daniel Chausse wá
Georges Otchéré
Georges Otchéré ,
. Adonis Bohoun
Adonis Bohoun Xó
, Benjamin Hùnkpátín
Benjamin Hùnkpátín wɛ
Sévérin QUENUM
Sévérin QUENUM ,
Lě Sévérin QUENUM
Sévérin QUENUM ɖɔ
, Benjamin Hùnkpátín
Benjamin Hùnkpátín wɛ
hwenu Patrice TALƆN
Patrice TALƆN cyan
, Patrice TALƆN
Patrice TALƆN ná
Romuald Wadagni
Romuald Wadagni tínmɛ
gán Matshidiso Moeti
Matshidiso Moeti wɛ
tògán Patrice TALƆN
Patrice TALƆN wɛ
nú Romuald Wadagni
Romuald Wadagni ɖɔ
Serge Ekué
Serge Ekué wɛ
, Christian Adɔvɛlaɔɖe
Christian Adɔvɛlaɔɖe wɛ
ze Christian Ekué
Christian Ekué ɔ́
Serge Ekué
Serge Ekué ɔ́
sɔ Serge Ekué
Serge Ekué hwɛ̌
, Rémi Prosper
Rémi Prosper Moretti
Prosper Moretti ,
, Blandine Sintɔnji
Blandine Sintɔnji mɔ
è Ouattara Brahima
Ouattara Brahima dó
è Choguel Maïga
Choguel Maïga ,
, Benjamin Hùnkpátín
Benjamin Hùnkpátín xwlé
, Benjamin Hùnkpátín
Benjamin Hùnkpátín wɛ
, Dieudonné Houinsou
Dieudonné Houinsou wɛ
nyɔ́ Christian Adjakas
Christian Adjakas núkún
, Ninon Ahoudjinou
Ninon Ahoudjinou gbà
Alphonse da
Alphonse da Silva
da Silva ,
bɔ Alphonse da
Alphonse da Silva
da Silva huzu
, Benjamin Hùnkpátín
Benjamin Hùnkpátín wá
Nú Benjamin Hùnkpátín
Benjamin Hùnkpátín ɔ́
, Benjamin Hùnkpátín
Benjamin Hùnkpátín wɛ
, Eléonore Yayi
Eléonore Yayi Ladekan
Yayi Ladekan ,
, Aurélie Adam
Aurélie Adam Soulé
Adam Soulé Zumaru
Soulé Zumaru ,
Nú Eléonore Yayi
Eléonore Yayi Ladekan
Yayi Ladekan ɔ́
, Louise Mushikiwabo
Louise Mushikiwabo wá
wɛ Louise Mushikiwabo
Louise Mushikiwabo ;
tògán Patrice TALƆN
Patrice TALƆN .
Patrice TALƆN
Patrice TALƆN ná
Ée Aurelien Agbenonci
Aurelien Agbenonci yí
, Michel Dussuyer
Michel Dussuyer sín
Adonis Bohoun
Adonis Bohoun .
Maurice Thantan
Maurice Thantan .
zunzun Patrice TALƆN
Patrice TALƆN kpódó
# PatriceTALƆN bá
jɛ Rebecca Kɛnjanhunɖe
Rebecca Kɛnjanhunɖe tɔn
, Sévérin Maxime
Sévérin Maxime QUENUM
Maxime QUENUM ɖò
, Benjamin Hùnkpátín
Benjamin Hùnkpátín ,
Bɔ Charbel Gomez
Charbel Gomez wɛ
, Junior Olaitan
Junior Olaitan ná
ɖé Charbel Gomez
Charbel Gomez .
Ricardo Degbeko
Ricardo Degbeko wɛ
Maurice Thantan
Maurice Thantan Xó
, Emmanuel Tiando
Emmanuel Tiando ,
sɔ Boubacar Kéita
Boubacar Kéita dó
, Goodluck Jonathan
Goodluck Jonathan nyí
tògán Patrice TALƆN
Patrice TALƆN savo
Nǔwlántɔ Florent Coua
Florent Coua -
Coua - Zotti
- Zotti ,
: Angela Kpeija
Angela Kpeija ,
, Maurice Thantan
Maurice Thantan ,
: Bio Mahamed
Bio Mahamed .
, Nicanor Coovi
Nicanor Coovi ée
jɛn Marie -
Marie - Léa
- Léa Yémadjro
Léa Yémadjro ,
Adonis Bohoun
Adonis Bohoun .
ajacɔ́tɔ́ Saturnin Allagbé
Saturnin Allagbé wú
cɔ́tɔ́ Adénon kpódó
kpódó Hùntɔnjí kpán
xotɔ́ Poté ,
, Dòsú kpódó
kpódó Mounié kpán
mɔ Emmanuel Imorou
Emmanuel Imorou kpódó
kpódó Jodel Dòsú
Jodel Dòsú kpán
è Benjamin Hùnkpátín
Benjamin Hùnkpátín ɖɔ
Pascal Essou
Pascal Essou ,
tògán PatriceTALƆN wɛ
, Pascal Essou
Pascal Essou wɛ
ɖyɔ Joseph Gnonlonfoun
Joseph Gnonlonfoun ée
, Benjamin Hùnkpátín
Benjamin Hùnkpátín ɔ́
Adonis Bohoun
Adonis Bohoun .
, Michel Bergamin
Michel Bergamin ɖɔ
, Benjamin Hùnkpátín
Benjamin Hùnkpátín ,
, José Didier
José Didier Tonato
Didier Tonato ,
, Jean -
Jean - Claude
- Claude Codjia
Claude Codjia
, Emile Kougbadi
Emile Kougbadi ,
Aurélie Adam
Aurélie Adam Soulé
Adam Soulé Zumaru
Soulé Zumaru tɛɖɛ
, Cyrille Gougbédji
Cyrille Gougbédji ɖɔ
Cyrille Gougbêdji
Cyrille Gougbêdji lɛ́
, Mindenou ,
- Robin Accrombessi
Robin Accrombessi ,
, Louis Vlavonú
Louis Vlavonú tínmɛ
Maurice Thantan
Maurice Thantan nǔwlánwlán
, Jean -
Jean - Yves
- Yves Koumpogue
Yves Koumpogue wɛ
Roméo Appia
Roméo Appia Houinsou
Appia Houinsou ɖò
, Maurice Thantan
Maurice Thantan .
, Angela Kpeija
Angela Kpeija ,
gán Jules Gninkou
Jules Gninkou .
Maurice Thantan
Maurice Thantan .
azɔgbɛ́ Ignace Sossou
Ignace Sossou tɔn
ɖɔ Ignace Sossou
Ignace Sossou kún
Ignace Sossou
Ignace Sossou ,
- Aurélie Adam
Aurélie Adam Soulé
Adam Soulé Zumaru
Soulé Zumaru (
, Benjamin Hùnkpátín
Benjamin Hùnkpátín wɛ
Nú Benjamin Hùnkpátín
Benjamin Hùnkpátín ɔ́
, Benjamin Hùnkpátín
Benjamin Hùnkpátín tínmɛ
. Adonis Bohoun
Adonis Bohoun .
, Pascal Kupkaki
Pascal Kupkaki ɖɔ
Benjamin Hùnkpátín
Benjamin Hùnkpátín lɛ́
PatriceTALƆN ɖó
kpɔn PatriceTALƆN nú
, PatriceTALƆN ɖɔ
è PatriceTALƆN ɖɔ
è PatriceTALƆN ɖɔ
Nú PatriceTALƆN ɔ́
Tò Gbɛhanzin tɔn
, Bio Guera
Bio Guera tɔn
, Akaba tɔn
tògán PatriceTALƆN ná
nɔ Alfred Dodds
Alfred Dodds (
Michel Dussuyer
Michel Dussuyer ,
( Roche Yohan
Roche Yohan kpódó
kpódó Stéphane Matteo
Stéphane Matteo Ahlinvi
Matteo Ahlinvi kpán
; Stéphane Sessegnon
Stéphane Sessegnon ,
Adonis Bohoun
Adonis Bohoun nǔwlánwlán
gán Louis Vlavonú
Louis Vlavonú sá
: Rebecca Kɛnjanhunɖé
Rebecca Kɛnjanhunɖé ,
, Maurice Thantan
Maurice Thantan .
, Aurélie Adam
Aurélie Adam Soulé
Adam Soulé Zumaru
Soulé Zumaru wɛ
mìtɔn Maurice Thantan
Maurice Thantan ná
livanɔ Patrice Motsepe
Patrice Motsepe ɔ́
, Ahmad Ahmad
Ahmad Ahmad è
ɖɔ Patrice Motsepe
Patrice Motsepe ná
nù Jacques Arouma
Jacques Arouma ,
nù Augustin Senghor
Augustin Senghor kpódó
nù Ahmed Yahya
Ahmed Yahya kpán
kpò Patrice Motsepe
Patrice Motsepe kɛɖɛ
Patrice Motsepe
Patrice Motsepe huzu
Pascal Essou
Pascal Essou ,
, Joseph Gnonlonfoun
Joseph Gnonlonfoun ɖò
, Joseph Gnonlonfoun
Joseph Gnonlonfoun ɖò
, Joseph Gnonlonfoun
Joseph Gnonlonfoun ɖò
Pascal Essou
Pascal Essou jɛma
tògán PatriceTALƆN ,
Pascal Essou
Pascal Essou ,
tɔ Mahougnon Kakpo
Mahougnon Kakpo ɖyɔ
tɔ Mahougnon Kakpo
Mahougnon Kakpo ɖyɔ
ɖaxó Mahougnon Kakpo
Mahougnon Kakpo tɔn
tɔ Mahougnon Kakpo
Mahougnon Kakpo tín
tɔ Mahougnon Kakpo
Mahougnon Kakpo tín
ɖaxó Mahougnon Kakpo
Mahougnon Kakpo cyan
Mahougnon Kakpo
Mahougnon Kakpo ɖɔ
Mahougnon Kakpo
Mahougnon Kakpo lɛ́
, Mahougnon Kakpo
Mahougnon Kakpo wɛ
, Mahougnon Kakpo
Mahougnon Kakpo wɛ
Mohamed Aïdjo
Mohamed Aïdjo ée
. Mohamed Aïdjo
Mohamed Aïdjo ée
xó Mohamed Aïdjo
Mohamed Aïdjo tɔn
Hwɛɖɔtɔ Florent R
Florent R .
R . Gnansomon
. Gnansomon gbɛ́
kàn Mohamed Aïdjo
Mohamed Aïdjo ɔ
nú Florent R
Florent R .
R . Gnansomon
. Gnansomon bɔ
jó Mohamed Aïdjo
Mohamed Aïdjo .
Hwɛjɛmɛjitɔ Mohamed Aïdjo
Mohamed Aïdjo tɔn
, Raoul Placide
Raoul Placide Hungbeji
Placide Hungbeji lɔ́ɔ
lé Mohamed Aïdjo
Mohamed Aïdjo ɔ
, Soulé wɛ
Hwɛjɛmɛjitɔ Hungbeji ɔ́
nú Mohamed Aïdjo
Mohamed Aïdjo ɖɔ
Mohamed Aïdjo
Mohamed Aïdjo ɖɔ
alaji Boni Gado
Boni Gado sín
tɔn Ibrahim Boni
Ibrahim Boni tɔ́n
, Aboubacar Soulé
Aboubacar Soulé .
, Aboubacar Soulé
Aboubacar Soulé kplá
ɖalɔ Mohamed Aïdjo
Mohamed Aïdjo ɔ
tògán PatriceTALƆN kpódó
Tògán Patrice TALƆN
Patrice TALƆN yì
Patrice TALƆN
Patrice TALƆN kpódó
