b'omu Kampala abava
e Somalia ,
e Somalia oguwagira
bwa Ethiopia ,
e Somalia .
Uganda ne
ne Burundi z'ensi
mu Somalia .
mu Somalia .
mu Mogadishu nga
mu Somalia kya
wa Afirika eri
ga Uganda mu
mu Somalia kubanga
mu Kampala nga
ku Somalia .
agamba Uganda terina
mu Somalia .
za Afirika nga
nga Nigeria ne
ne Malawi ezaasuubiza
ga Afirika okulonda
ga Afirika amagatte
mu Somalia wansi
nti Uganda ejja
mu Somalia yokka
; Somalia ,
, Djibouti ,
, Ethiopia ,
, Uganda ,
, Kenya ,
, Sudan ne
ne Eritrea .
Eritrea ,
e Somalia ,
Sudan telagangako
mu Somalia .
Singa Uganda ekyusa
mu Somalia naye
e Ntungamo kubanga
kati Ntungamo ne
ne Rukungiri .
e Mbarara ,
mu Kampala .
nga USA ,
mu Somalia zaalemwa
lw'e Somalia bwe
e Ntungamo .
ng'olunaku Uganda lwe
mu Kampala tezaafuuka
ku Uganda okutwala
mu Somalia .
erabudde Uganda ne
ne Burundi nti
mu Kampala ne
mu Bujumbura .
mu Somalia ku
mu Somalia .
kya Somalia ekinene
mu Somalia kati
mu Somalia mu
e Somalia kigootaanye
bw'erumba Uganda olw'okutwala
mu Somalia ,
ba Uganda mu
mu Mogadishu tebalina
bya Uganda okuddamu
ku Somalia .
nti Uganda erina
nti Uganda erina
mu Somalia enyweze
mu Uganda ,
Eritrea ,
e Somalia ,
Sudan telaganga
mu Somalia .
Singa Uganda ekyusa
mu Somalia naye
e Ntungamo kubanga
kati Ntungamo ne
ne Rukungiri .
e Mbarara ,
mu Kampala .
nga USA ,
mu Somalia zaalemwa
lw'e Somalia bwe
e Ntungamo .
ng'olunaku Uganda lwe
mu Kampala tezaafuuka
ku Uganda okutwala
mu Somalia .
erabudde Uganda ne
ne Burundi nti
mu Kampala ne
mu Bujumbura .
mu Somalia ku
mu Somalia .
kya Somalia ekinene
mu Somalia era
mu Somalia kati
mu Somalia mu
e Somalia kigootaanye
bw'erumba Uganda olw'okutwala
mu Somalia ,
ba Uganda mu
mu Mogadishu tebalina
bya Uganda okuddamu
ku Somalia .
nti Uganda erina
nti Uganda erina
mu Somalia enyweze
mu Uganda ,
, Uganda etandise
, Kenya yagaana
ku Uganda bufaananako
mu Middle East
Middle East okusingira
mu Palestine ,
, Israel .
e Oklahoma mu
e Rwanda mu
mu Rwanda era
mu Rwanda agamba
mu Iraq .
e Bungereza .
, Rwanda yalina
mu Bulaaya kyaleetaawo
e Mubende n'e
n'e Kiboga baakakibwa
za Kampala .
mu Afrika okuggyako
mu Ethiopia ne
ne Liberia zitaafugibwako
b'e Rwanda beevuma
kya Bungereza ekigabi
y'e Jinja .
y'e Oyam zaagambibwa
ya Arua ebanja
ebanja Uganda ssente
y'e Nebbi .
eky'e Busabala mu
y'e Masajja oluvannyuma
mu Uganda ,
, Liberia ne
ne Zimbabwe .
ga Afirika amagatte
mu Afirika "
okungi Afirika kw'esanga
bya Afirika ebingi
ye Uganda eyafiirwa
ga Afirika baavumirira
wa Uganda asooka
e Somalia .
mu Somalia .
Guinea ne
ne Djibouti nago
e Somalia okuyambako
ga Uganda ne
ne Burundi okukuuma
b'omu Middle East
Middle East abatiitiizi
ba Afirika abavunaanibwa
wa Sudan Omar
aga Afirika bakkaanya
ga Africa amagatte
ga Africa amagatte
mu Africa .
mu Afirica ,
mu Sub -
Sub - Saharan
- Saharan Africa
Saharan Africa alina
kya Africa ekiri
w'eddungu Saharah kye
ga Afirica amagatte
ba Afirika eby'omu
ga Afirica amagatte
ly'e Butambala lyali
y'e Mpigi naye
y'e Gomba .
ery'e Kayunga .
mu Uganda .
e Naggalabi ,
, Budo ,
b'e Mengo bagamba
bya Uganda kwe
lwa Buganda lwakisuula
w'e Luwero Abudul
w'e Luwero .
mu London emirundi
mu Kampala era
bwa DRC ,
, Nairobi ate
e Somalia .
mu Somalia ?
bwa Somalia tebumanyiddwa
bwa Somalia buufuse
bwa Uganda .
za Somalia byennyamiza
mu Somalia nga
