Model,CLS,CTX,HYB,Tokens,Window,Rank,Language,MeanSim,Family
mbert,true,false,false,300,1,1,lug,0.9816,Bantu
mbert,true,false,false,300,1,2,twi,0.9754,Kwa
mbert,true,false,false,300,1,3,luo,0.9719,Nilotic
mbert,true,false,false,300,1,4,swa,0.971,Bantu
mbert,true,false,false,300,1,5,kin,0.9707,Bantu
mbert,true,false,false,300,1,6,ibo,0.9658,Volta-Niger
mbert,true,false,false,300,1,7,ewe,0.9561,Kwa
mbert,true,false,false,300,1,8,tsn,0.9532,Bantu
mbert,true,false,false,300,1,9,nya,0.9523,Bantu
mbert,true,false,false,300,1,10,sna,0.9518,Bantu
mbert,true,false,false,300,1,11,bam,0.9475,Mande
mbert,true,false,false,300,1,12,zul,0.945,Bantu
mbert,true,false,false,300,1,13,fon,0.9416,Kwa
mbert,true,false,false,300,1,14,hau,0.9413,Chadic
mbert,true,false,false,300,1,15,pcm,0.9349,English Creole
mbert,true,false,false,300,1,16,wol,0.9316,Atlantic-Congo
mbert,true,false,false,300,1,17,mos,0.9302,Gur
mbert,true,false,false,300,1,18,xho,0.9287,Bantu
mbert,true,false,false,300,1,19,bbj,0.9117,Bantu
mbert,true,false,false,300,1,20,yor,0.8943,Volta-Niger
mbert,true,false,false,300,0,1,lug,0.9816,Bantu
mbert,true,false,false,300,0,2,twi,0.9754,Kwa
mbert,true,false,false,300,0,3,luo,0.9719,Nilotic
mbert,true,false,false,300,0,4,swa,0.971,Bantu
mbert,true,false,false,300,0,5,kin,0.9707,Bantu
mbert,true,false,false,300,0,6,ibo,0.9658,Volta-Niger
mbert,true,false,false,300,0,7,ewe,0.9561,Kwa
mbert,true,false,false,300,0,8,tsn,0.9532,Bantu
mbert,true,false,false,300,0,9,nya,0.9523,Bantu
mbert,true,false,false,300,0,10,sna,0.9518,Bantu
mbert,true,false,false,300,0,11,bam,0.9475,Mande
mbert,true,false,false,300,0,12,zul,0.945,Bantu
mbert,true,false,false,300,0,13,fon,0.9416,Kwa
mbert,true,false,false,300,0,14,hau,0.9413,Chadic
mbert,true,false,false,300,0,15,pcm,0.9349,English Creole
mbert,true,false,false,300,0,16,wol,0.9316,Atlantic-Congo
mbert,true,false,false,300,0,17,mos,0.9302,Gur
mbert,true,false,false,300,0,18,xho,0.9287,Bantu
mbert,true,false,false,300,0,19,bbj,0.9117,Bantu
mbert,true,false,false,300,0,20,yor,0.8943,Volta-Niger
mbert,true,false,false,200,1,1,lug,0.9812,Bantu
mbert,true,false,false,200,1,2,kin,0.9737,Bantu
mbert,true,false,false,200,1,3,twi,0.9737,Kwa
mbert,true,false,false,200,1,4,luo,0.9723,Nilotic
mbert,true,false,false,200,1,5,swa,0.9708,Bantu
mbert,true,false,false,200,1,6,ibo,0.966,Volta-Niger
mbert,true,false,false,200,1,7,ewe,0.9546,Kwa
mbert,true,false,false,200,1,8,tsn,0.9517,Bantu
mbert,true,false,false,200,1,9,nya,0.9514,Bantu
mbert,true,false,false,200,1,10,sna,0.9507,Bantu
mbert,true,false,false,200,1,11,bam,0.946,Mande
mbert,true,false,false,200,1,12,zul,0.941,Bantu
mbert,true,false,false,200,1,13,fon,0.9397,Kwa
mbert,true,false,false,200,1,14,hau,0.9396,Chadic
mbert,true,false,false,200,1,15,pcm,0.9346,English Creole
mbert,true,false,false,200,1,16,wol,0.9304,Atlantic-Congo
mbert,true,false,false,200,1,17,xho,0.9282,Bantu
mbert,true,false,false,200,1,18,mos,0.9276,Gur
mbert,true,false,false,200,1,19,bbj,0.9091,Bantu
mbert,true,false,false,200,1,20,yor,0.8971,Volta-Niger
mbert,true,false,false,500,2,1,lug,0.9823,Bantu
mbert,true,false,false,500,2,2,luo,0.9723,Nilotic
mbert,true,false,false,500,2,3,swa,0.9716,Bantu
mbert,true,false,false,500,2,4,twi,0.9711,Kwa
mbert,true,false,false,500,2,5,kin,0.9663,Bantu
mbert,true,false,false,500,2,6,ibo,0.9636,Volta-Niger
mbert,true,false,false,500,2,7,ewe,0.9545,Kwa
mbert,true,false,false,500,2,8,sna,0.9531,Bantu
mbert,true,false,false,500,2,9,nya,0.95,Bantu
mbert,true,false,false,500,2,10,tsn,0.949,Bantu
mbert,true,false,false,500,2,11,bam,0.9449,Mande
mbert,true,false,false,500,2,12,zul,0.943,Bantu
mbert,true,false,false,500,2,13,fon,0.9421,Kwa
mbert,true,false,false,500,2,14,hau,0.9401,Chadic
mbert,true,false,false,500,2,15,pcm,0.9367,English Creole
mbert,true,false,false,500,2,16,mos,0.933,Gur
mbert,true,false,false,500,2,17,wol,0.9314,Atlantic-Congo
mbert,true,false,false,500,2,18,xho,0.9286,Bantu
mbert,true,false,false,500,2,19,bbj,0.9118,Bantu
mbert,true,false,false,500,2,20,yor,0.901,Volta-Niger
mbert,true,false,false,400,3,1,lug,0.9832,Bantu
mbert,true,false,false,400,3,2,luo,0.9724,Nilotic
mbert,true,false,false,400,3,3,twi,0.9703,Kwa
mbert,true,false,false,400,3,4,swa,0.97,Bantu
mbert,true,false,false,400,3,5,kin,0.966,Bantu
mbert,true,false,false,400,3,6,ibo,0.9632,Volta-Niger
mbert,true,false,false,400,3,7,tsn,0.9543,Bantu
mbert,true,false,false,400,3,8,ewe,0.9539,Kwa
mbert,true,false,false,400,3,9,sna,0.9518,Bantu
mbert,true,false,false,400,3,10,nya,0.9507,Bantu
mbert,true,false,false,400,3,11,bam,0.9432,Mande
mbert,true,false,false,400,3,12,zul,0.9405,Bantu
mbert,true,false,false,400,3,13,fon,0.9403,Kwa
mbert,true,false,false,400,3,14,hau,0.9371,Chadic
mbert,true,false,false,400,3,15,pcm,0.9335,English Creole
mbert,true,false,false,400,3,16,mos,0.9302,Gur
mbert,true,false,false,400,3,17,wol,0.9278,Atlantic-Congo
mbert,true,false,false,400,3,18,xho,0.9262,Bantu
mbert,true,false,false,400,3,19,bbj,0.9079,Bantu
mbert,true,false,false,400,3,20,yor,0.8951,Volta-Niger
mbert,true,false,false,200,0,1,lug,0.9812,Bantu
mbert,true,false,false,200,0,2,kin,0.9737,Bantu
mbert,true,false,false,200,0,3,twi,0.9737,Kwa
mbert,true,false,false,200,0,4,luo,0.9723,Nilotic
mbert,true,false,false,200,0,5,swa,0.9708,Bantu
mbert,true,false,false,200,0,6,ibo,0.966,Volta-Niger
mbert,true,false,false,200,0,7,ewe,0.9546,Kwa
mbert,true,false,false,200,0,8,tsn,0.9517,Bantu
mbert,true,false,false,200,0,9,nya,0.9514,Bantu
mbert,true,false,false,200,0,10,sna,0.9507,Bantu
mbert,true,false,false,200,0,11,bam,0.946,Mande
mbert,true,false,false,200,0,12,zul,0.941,Bantu
mbert,true,false,false,200,0,13,fon,0.9397,Kwa
mbert,true,false,false,200,0,14,hau,0.9396,Chadic
mbert,true,false,false,200,0,15,pcm,0.9346,English Creole
mbert,true,false,false,200,0,16,wol,0.9304,Atlantic-Congo
mbert,true,false,false,200,0,17,xho,0.9282,Bantu
mbert,true,false,false,200,0,18,mos,0.9276,Gur
mbert,true,false,false,200,0,19,bbj,0.9091,Bantu
mbert,true,false,false,200,0,20,yor,0.8971,Volta-Niger
mbert,true,false,false,400,0,1,lug,0.9832,Bantu
mbert,true,false,false,400,0,2,luo,0.9724,Nilotic
mbert,true,false,false,400,0,3,twi,0.9703,Kwa
mbert,true,false,false,400,0,4,swa,0.97,Bantu
mbert,true,false,false,400,0,5,kin,0.966,Bantu
mbert,true,false,false,400,0,6,ibo,0.9632,Volta-Niger
mbert,true,false,false,400,0,7,tsn,0.9543,Bantu
mbert,true,false,false,400,0,8,ewe,0.9539,Kwa
mbert,true,false,false,400,0,9,sna,0.9518,Bantu
mbert,true,false,false,400,0,10,nya,0.9507,Bantu
mbert,true,false,false,400,0,11,bam,0.9432,Mande
mbert,true,false,false,400,0,12,zul,0.9405,Bantu
mbert,true,false,false,400,0,13,fon,0.9403,Kwa
mbert,true,false,false,400,0,14,hau,0.9371,Chadic
mbert,true,false,false,400,0,15,pcm,0.9335,English Creole
mbert,true,false,false,400,0,16,mos,0.9302,Gur
mbert,true,false,false,400,0,17,wol,0.9278,Atlantic-Congo
mbert,true,false,false,400,0,18,xho,0.9262,Bantu
mbert,true,false,false,400,0,19,bbj,0.9079,Bantu
mbert,true,false,false,400,0,20,yor,0.8951,Volta-Niger
mbert,true,false,false,500,3,1,lug,0.9823,Bantu
mbert,true,false,false,500,3,2,luo,0.9723,Nilotic
mbert,true,false,false,500,3,3,swa,0.9716,Bantu
mbert,true,false,false,500,3,4,twi,0.9711,Kwa
mbert,true,false,false,500,3,5,kin,0.9663,Bantu
mbert,true,false,false,500,3,6,ibo,0.9636,Volta-Niger
mbert,true,false,false,500,3,7,ewe,0.9545,Kwa
mbert,true,false,false,500,3,8,sna,0.9531,Bantu
mbert,true,false,false,500,3,9,nya,0.95,Bantu
mbert,true,false,false,500,3,10,tsn,0.949,Bantu
mbert,true,false,false,500,3,11,bam,0.9449,Mande
mbert,true,false,false,500,3,12,zul,0.943,Bantu
mbert,true,false,false,500,3,13,fon,0.9421,Kwa
mbert,true,false,false,500,3,14,hau,0.9401,Chadic
mbert,true,false,false,500,3,15,pcm,0.9367,English Creole
mbert,true,false,false,500,3,16,mos,0.933,Gur
mbert,true,false,false,500,3,17,wol,0.9314,Atlantic-Congo
mbert,true,false,false,500,3,18,xho,0.9286,Bantu
mbert,true,false,false,500,3,19,bbj,0.9118,Bantu
mbert,true,false,false,500,3,20,yor,0.901,Volta-Niger
mbert,true,false,false,500,0,1,lug,0.9823,Bantu
mbert,true,false,false,500,0,2,luo,0.9723,Nilotic
mbert,true,false,false,500,0,3,swa,0.9716,Bantu
mbert,true,false,false,500,0,4,twi,0.9711,Kwa
mbert,true,false,false,500,0,5,kin,0.9663,Bantu
mbert,true,false,false,500,0,6,ibo,0.9636,Volta-Niger
mbert,true,false,false,500,0,7,ewe,0.9545,Kwa
mbert,true,false,false,500,0,8,sna,0.9531,Bantu
mbert,true,false,false,500,0,9,nya,0.95,Bantu
mbert,true,false,false,500,0,10,tsn,0.949,Bantu
mbert,true,false,false,500,0,11,bam,0.9449,Mande
mbert,true,false,false,500,0,12,zul,0.943,Bantu
mbert,true,false,false,500,0,13,fon,0.9421,Kwa
mbert,true,false,false,500,0,14,hau,0.9401,Chadic
mbert,true,false,false,500,0,15,pcm,0.9367,English Creole
mbert,true,false,false,500,0,16,mos,0.933,Gur
mbert,true,false,false,500,0,17,wol,0.9314,Atlantic-Congo
mbert,true,false,false,500,0,18,xho,0.9286,Bantu
mbert,true,false,false,500,0,19,bbj,0.9118,Bantu
mbert,true,false,false,500,0,20,yor,0.901,Volta-Niger
mbert,true,false,false,400,1,1,lug,0.9832,Bantu
mbert,true,false,false,400,1,2,luo,0.9724,Nilotic
mbert,true,false,false,400,1,3,twi,0.9703,Kwa
mbert,true,false,false,400,1,4,swa,0.97,Bantu
mbert,true,false,false,400,1,5,kin,0.966,Bantu
mbert,true,false,false,400,1,6,ibo,0.9632,Volta-Niger
mbert,true,false,false,400,1,7,tsn,0.9543,Bantu
mbert,true,false,false,400,1,8,ewe,0.9539,Kwa
mbert,true,false,false,400,1,9,sna,0.9518,Bantu
mbert,true,false,false,400,1,10,nya,0.9507,Bantu
mbert,true,false,false,400,1,11,bam,0.9432,Mande
mbert,true,false,false,400,1,12,zul,0.9405,Bantu
mbert,true,false,false,400,1,13,fon,0.9403,Kwa
mbert,true,false,false,400,1,14,hau,0.9371,Chadic
mbert,true,false,false,400,1,15,pcm,0.9335,English Creole
mbert,true,false,false,400,1,16,mos,0.9302,Gur
mbert,true,false,false,400,1,17,wol,0.9278,Atlantic-Congo
mbert,true,false,false,400,1,18,xho,0.9262,Bantu
mbert,true,false,false,400,1,19,bbj,0.9079,Bantu
mbert,true,false,false,400,1,20,yor,0.8951,Volta-Niger
mbert,true,false,false,300,2,1,lug,0.9816,Bantu
mbert,true,false,false,300,2,2,twi,0.9754,Kwa
mbert,true,false,false,300,2,3,luo,0.9719,Nilotic
mbert,true,false,false,300,2,4,swa,0.971,Bantu
mbert,true,false,false,300,2,5,kin,0.9707,Bantu
mbert,true,false,false,300,2,6,ibo,0.9658,Volta-Niger
mbert,true,false,false,300,2,7,ewe,0.9561,Kwa
mbert,true,false,false,300,2,8,tsn,0.9532,Bantu
mbert,true,false,false,300,2,9,nya,0.9523,Bantu
mbert,true,false,false,300,2,10,sna,0.9518,Bantu
mbert,true,false,false,300,2,11,bam,0.9475,Mande
mbert,true,false,false,300,2,12,zul,0.945,Bantu
mbert,true,false,false,300,2,13,fon,0.9416,Kwa
mbert,true,false,false,300,2,14,hau,0.9413,Chadic
mbert,true,false,false,300,2,15,pcm,0.9349,English Creole
mbert,true,false,false,300,2,16,wol,0.9316,Atlantic-Congo
mbert,true,false,false,300,2,17,mos,0.9302,Gur
mbert,true,false,false,300,2,18,xho,0.9287,Bantu
mbert,true,false,false,300,2,19,bbj,0.9117,Bantu
mbert,true,false,false,300,2,20,yor,0.8943,Volta-Niger
mbert,true,false,false,200,3,1,lug,0.9812,Bantu
mbert,true,false,false,200,3,2,kin,0.9737,Bantu
mbert,true,false,false,200,3,3,twi,0.9737,Kwa
mbert,true,false,false,200,3,4,luo,0.9723,Nilotic
mbert,true,false,false,200,3,5,swa,0.9708,Bantu
mbert,true,false,false,200,3,6,ibo,0.966,Volta-Niger
mbert,true,false,false,200,3,7,ewe,0.9546,Kwa
mbert,true,false,false,200,3,8,tsn,0.9517,Bantu
mbert,true,false,false,200,3,9,nya,0.9514,Bantu
