layer,model,rank_type,language,pearson
2,xlmr,top5,kin,0.9999958466393163
2,xlmr,top5,nya,0.9999950259766097
2,xlmr,top5,luo,0.9999948198136164
2,xlmr,top5,sna,0.999994714479882
2,xlmr,top5,zul,0.9999939714711676
2,xlmr,worst5,hau,0.9999788752622899
2,xlmr,worst5,swa,0.9999806594532514
2,xlmr,worst5,fon,0.999981373590878
2,xlmr,worst5,pcm,0.9999823158313342
2,xlmr,worst5,lug,0.9999837920987338
3,xlmr,top5,sna,0.9999970384258297
3,xlmr,top5,zul,0.9999967906002107
3,xlmr,top5,xho,0.9999966523852613
3,xlmr,top5,wol,0.9999953490407911
3,xlmr,top5,kin,0.9999951290037759
3,xlmr,worst5,pcm,0.9999779828222237
3,xlmr,worst5,swa,0.999986047977658
3,xlmr,worst5,tsn,0.9999895225821707
3,xlmr,worst5,fon,0.999991001675204
3,xlmr,worst5,ewe,0.999991425828674
10,xlmr,top5,ibo,0.9999985458250955
10,xlmr,top5,ewe,0.9999983266555214
10,xlmr,top5,mos,0.9999981136859485
10,xlmr,top5,zul,0.999997885969272
10,xlmr,top5,twi,0.9999978725320426
10,xlmr,worst5,bam,0.9999891260276993
10,xlmr,worst5,pcm,0.9999946713684705
10,xlmr,worst5,kin,0.9999954064949426
10,xlmr,worst5,tsn,0.999995479643441
10,xlmr,worst5,swa,0.9999957278444924
12,xlmr,top5,swa,0.9993520685002046
12,xlmr,top5,bam,0.9990962510226871
12,xlmr,top5,ibo,0.9990959055475408
12,xlmr,top5,yor,0.9990873796170314
12,xlmr,top5,kin,0.9990064118178219
12,xlmr,worst5,wol,0.9976994791349996
12,xlmr,worst5,tsn,0.9977051271181859
12,xlmr,worst5,zul,0.9980346548690887
12,xlmr,worst5,fon,0.9982009775666736
12,xlmr,worst5,xho,0.9983147535255198
