layer,model,rank_type,language,pearson
2,xlmr,top5,kin,0.9999954689720721
2,xlmr,top5,luo,0.9999883346447612
2,xlmr,top5,twi,0.9999877247494776
2,xlmr,top5,tsn,0.9999846160146336
2,xlmr,top5,swa,0.9999832531997846
2,xlmr,worst5,bam,0.9999232071294073
2,xlmr,worst5,fon,0.9999336676990553
2,xlmr,worst5,bbj,0.9999403061382004
2,xlmr,worst5,mos,0.9999522840543708
2,xlmr,worst5,yor,0.9999600724811801
3,xlmr,top5,kin,0.9999976178958875
3,xlmr,top5,twi,0.9999962536340263
3,xlmr,top5,tsn,0.9999955054296377
3,xlmr,top5,ewe,0.9999946249913286
3,xlmr,top5,luo,0.9999938590501709
3,xlmr,worst5,bbj,0.9999790268390696
3,xlmr,worst5,fon,0.9999823922599885
3,xlmr,worst5,bam,0.9999824364422835
3,xlmr,worst5,yor,0.999984697370196
3,xlmr,worst5,mos,0.9999856636906599
10,xlmr,top5,swa,0.9999989883425483
10,xlmr,top5,kin,0.9999986250459255
10,xlmr,top5,luo,0.9999980573140264
10,xlmr,top5,tsn,0.9999979947307918
10,xlmr,top5,twi,0.9999976475252359
10,xlmr,worst5,fon,0.9999712025527506
10,xlmr,worst5,hau,0.999989218738421
10,xlmr,worst5,pcm,0.9999897972724681
10,xlmr,worst5,ibo,0.9999924031984503
10,xlmr,worst5,xho,0.9999938637381509
12,xlmr,top5,lug,0.999936026734112
12,xlmr,top5,twi,0.9999222515798458
12,xlmr,top5,nya,0.9998717470022418
12,xlmr,top5,mos,0.9998641633721094
12,xlmr,top5,kin,0.9998511693951256
12,xlmr,worst5,hau,0.9969279815105934
12,xlmr,worst5,fon,0.9994005249513824
12,xlmr,worst5,pcm,0.999481755033061
12,xlmr,worst5,ibo,0.9995791589622525
12,xlmr,worst5,yor,0.9997234669930504
