esingathwe yiRussia kulo
) eSochi .
abantu baseRussia ngakumbi
Jr waseBrazil ,
Ronaldo wasePortugal noLionel
Messi we -
we - Argentina
- Argentina -
bebhola eRussia .
iintatheli eSamara Arena
eSamara Arena okokuba
kubantu boMzantsi Afrika
boMzantsi Afrika emva
Germain yaseFrance ,
isaqhubayo eRussia .
ekhatywayo eFrance .
lonke eNgilane -
bebhola eFrance kungumnqa
Uhleli eNgilane ixesha
- Italy ngemali
sokuhamba eSpain .
kwisixeko saseMadrid -
eliphambili eSpain emva
kumdlalo obuseSaint Petersburg
obuseSaint Petersburg Stadium
Petersburg Stadium namhlanje
ngabantu baseBelgium eze
emalanga eMoscow .
amabini eNgilane kuphela
abantu baseNgilane -
kwebhola yaseNgilane phantsi
oye eRussia nabadlali
labadlali eRussia ,
kumdlalo eMoscow -
wehlabathi eMoscow namhlanje
odlalelwe eLuzhniki Stadium
eLuzhniki Stadium ngale
izixhiliphithi zaseBrazil zikhokelwa
ngumdlali waseBelgium oyingozi
omhle eFisht Stadium
eFisht Stadium ngale
ebanjelwe eRussia .
ziko liseGcuwa leWSU
kwibhola yaseMzantsi Afrika
yaseMzantsi Afrika esokuqeqesha
imbali eNaturena ngokuphumelela
esiphezulu eNizhny Novgorod
eNizhny Novgorod Stadium
Novgorod Stadium namhlanje
, eSochi Stadium
eSochi Stadium ,
ukuya eTaiwan -
kumela uMzantsi Afrika
uMzantsi Afrika .
Ndazalelwa kwilali yaseMqekezweni
kwilali yaseMqekezweni ,
, eMthatha .
kumhlaba waseMonti .
ilizwe loMzantsi Afrika
loMzantsi Afrika kukhuphiswano
, eTaiwan ,
okhuphiswano oluseTaiwan ahamba
ndisiya eTaiwan .
nyanga eGround Up
eGround Up ,
, eMonti .
kwilizwe laseThailand .
kwabasemagunyeni eThailand elithi
namayeyeye eThailand nakubantu
abantu baseThailand benze
esikwidolophu yaseChiang Rai
yaseChiang Rai -
leZempilo eThailand -
kankqoyi eLuzhniki Stadium
eLuzhniki Stadium kobu
iSASSA eNtshona Koloni
eNtshona Koloni ,
obambeleyo eNtshona Koloni
eNtshona Koloni ,
kwiphondo leMpuma Koloni
leMpuma Koloni ,
leSASSA eMpuma Koloni
eMpuma Koloni uLuzuko
wendlela uN2 phakathi
kwedolophu yaseNgqushwa kwakunye
kwakunye neQonce ,
samapolisa saseTamarha .
kwisixeko saseMakhanda .
AMAPOLISA aseGcuwa abambe
samapolisa aseGcuwa uKapteni
babanjwe kwilali yaseNkanini
kwilali yaseNkanini eGcuwa
yaseNkanini eGcuwa ,
kumatyotyombe aseSkiet kwaseGcuwa
aseSkiet kwaseGcuwa .
ePhakamileyo eMonti ,
labo eCambridge West
eCambridge West eMonti
West eMonti ,
kurhulumente weMpuma Koloni
weMpuma Koloni ,
kwingingqi yaseChris Hani
yaseChris Hani .
ephakamileyo eMonti .
labo eliseCambridge West
eliseCambridge West eMonti
West eMonti .
iphondo leMpuma Koloni
leMpuma Koloni lelona
liphondo laseRhawutini ze
iphondo laseNtshona Koloni
laseNtshona Koloni .
kuMasipala waseMalahleni baqhube
eziquka iCacadu neDordrecht
iCacadu neDordrecht -
KuQoboqobo abahlali
UMasipala waseEnoch Mgijima
waseEnoch Mgijima uthengise
iphondo leMpuma Koloni
leMpuma Koloni lelona
liphondo laseRhawutini kugqibele
iphondo laseNtshona Koloni
laseNtshona Koloni .
kumasipala waseMalahleni baqhube
eziquka iCacadu neDordretch
iCacadu neDordretch bekhalazela
KuQoboqobo abahlali
Umasipala waseEnoch Mgijima
waseEnoch Mgijima uthengise
yelizwe loMzantsi Afrika
loMzantsi Afrika nguGiovanni
ngomso eNorth West
eNorth West xa
ezayo eFNB Stadium
eFNB Stadium .
kumdlalo obuseLuzhniki Stadium
obuseLuzhniki Stadium kubusuku
- Italy kwikhasi
akamtshanga eMzantsi Afrika
eMzantsi Afrika nakwizwekazi
- Afrika .
- Afrika .
hayi eMzantsi Afrika
eMzantsi Afrika kuphela
kutshanje eBhayi .
East London
East London -
ngomso eJames Motlatsei
eJames Motlatsei Stadium
Motlatsei Stadium .
endaba eNelson Mandela
eNelson Mandela Bay
Mandela Bay Stadium
Bay Stadium .
abantu baseMpuma Koloni
baseMpuma Koloni ukuba
uSodolophu waseMalahleni uNomveliso
Idolophu yaseCacadu nedolophu
nedolophu yaseDordrecht ziqhube
wesithili saseOR Tambo
saseOR Tambo ,
abaninzi eCacadu .
, eCala ndibetheke
nalapha eCacadu kwenzeke
kakhulu eSaint Petersburg
eSaint Petersburg Stadium
Petersburg Stadium emalanga
kumapenela eJames
Motlatsi Stadium
Motlatsi Stadium ngokuhlwa
kwiphondo laseMntla
Ntshona (
( North West
North West )
wendebe yaseYurophu -
zabantu baseFrance .
neentatheli eRussia .
wokusuka eBika eGcuwa
eBika eGcuwa usiya
usiya kuQumbu ,
wendlela uN2 ,
kukusuka eRhawutini ungene
egolide aseFreyistata .
ukusuka eRhawutini ukuya
ukuya eDutywa .
, wakuGamgam eDutywa
wakuGamgam eDutywa ,
ukusuka eRhawutini ukuya
ukuya eDutywa ngeenjongo
kwiilali zaseMpuma Koloni
zaseMpuma Koloni .
luqale eRhawutini ngomhla
kufika eDutywa ngomhla
wokusuka eColosa (
( eDutywa )
edolophini eGcuwa .
ezilishumi zaseMpuma Koloni
zaseMpuma Koloni ukuze
ukusuka eRhawutini ukuya
ukuya eDutywa .
